Date,AAPL-US,ABBV-US,ABT-US,ACN-US,ADBE-US,AIG-US,AMD-US,AMGN-US,AMT-US,AMZN-US,AVGO-US,AXP-US,BA-US,BAC-US,BK-US,BKNG-US,BLK-US,BMY-US,BRK.B-US,C-US,CAT-US,CL-US,CMCSA-US,COF-US,COP-US,COST-US,CRM-US,CSCO-US,CVS-US,CVX-US,DE-US,DHR-US,DIS-US,DUK-US,EMR-US,FDX-US,GD-US,GE-US,GILD-US,GM-US,GOOG-US,GOOGL-US,GS-US,HD-US,HON-US,IBM-US,INTC-US,INTU-US,ISRG-US,JNJ-US,JPM-US,KO-US,LIN-US,LLY-US,LMT-US,LOW-US,MA-US,MCD-US,MDLZ-US,MDT-US,MET-US,META-US,MMM-US,MO-US,MRK-US,MS-US,MSFT-US,NEE-US,NFLX-US,NKE-US,NOW-US,NVDA-US,ORCL-US,PEP-US,PFE-US,PG-US,PLTR-US,PM-US,PYPL-US,QCOM-US,RTX-US,SBUX-US,SCHW-US,SO-US,SPG-US,T-US,TGT-US,TMO-US,TMUS-US,TSLA-US,TXN-US,UBER-US,UNH-US,UNP-US,UPS-US,USB-US,V-US,VZ-US,WFC-US,WMT-US,XOM-US
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
